crop_filename,original_image,ann_id,x,y,w,h,gender,upper_color,lower_color
ob1_10_RD_P1_frame_000060_0.png,10_RD_P1_frame_000060.png,0,688,529,35,77,N/V,Black,Black
ob1_10_RD_P1_frame_000060_1.png,10_RD_P1_frame_000060.png,1,313,392,23,57,N/V,Black,Black
ob1_10_RD_P1_frame_000060_2.png,10_RD_P1_frame_000060.png,2,346,379,20,58,N/V,Black,Black
ob1_10_RD_P1_frame_000060_3.png,10_RD_P1_frame_000060.png,3,645,263,13,40,N/V,Black,Black
ob1_10_RD_P1_frame_000060_4.png,10_RD_P1_frame_000060.png,4,616,372,19,56,N/V,Black,Black
ob1_10_RD_P1_frame_000060_5.png,10_RD_P1_frame_000060.png,5,643,373,20,54,N/V,Black,Black
ob1_10_RD_P1_frame_000060_6.png,10_RD_P1_frame_000060.png,6,729,77,10,20,N/V,Black,Black
ob1_10_RD_P1_frame_000060_7.png,10_RD_P1_frame_000060.png,7,750,94,9,22,N/V,Black,Black
ob1_10_RD_P1_frame_000060_8.png,10_RD_P1_frame_000060.png,8,677,88,20,23,N/V,Black,Black
ob1_10_RD_P1_frame_000060_9.png,10_RD_P1_frame_000060.png,9,696,72,11,19,N/V,Black,Black
ob1_10_RD_P1_frame_000060_10.png,10_RD_P1_frame_000060.png,10,664,256,16,45,N/V,Black,Black
ob1_10_RD_P1_frame_000060_11.png,10_RD_P1_frame_000060.png,11,710,192,23,43,N/V,Gray,N/V
ob1_10_RD_P1_frame_000060_12.png,10_RD_P1_frame_000060.png,12,368,453,40,65,N/V,Black,Black
ob1_10_RD_P1_frame_000060_13.png,10_RD_P1_frame_000060.png,13,774,81,8,20,N/V,Black,Black
ob1_10_RD_P1_frame_000060_14.png,10_RD_P1_frame_000060.png,14,783,104,9,23,N/V,Black,Black
ob1_10_RD_P1_frame_000060_15.png,10_RD_P1_frame_000060.png,15,680,256,12,41,N/V,Black,Black
ob1_10_RD_P1_frame_000060_16.png,10_RD_P1_frame_000060.png,16,689,92,7,22,N/V,Black,Black
ob1_10_RD_P1_frame_000000_0.png,10_RD_P1_frame_000000.png,0,250,388,24,58,Male,Gray,Black
ob1_10_RD_P1_frame_000000_1.png,10_RD_P1_frame_000000.png,1,277,385,20,57,Male,Gray,Black
ob1_10_RD_P1_frame_000000_2.png,10_RD_P1_frame_000000.png,2,645,246,13,40,Male,Gray,Black
ob1_10_RD_P1_frame_000000_3.png,10_RD_P1_frame_000000.png,3,628,345,18,56,Male,Gray,Black
ob1_10_RD_P1_frame_000000_4.png,10_RD_P1_frame_000000.png,4,649,346,20,54,Male,Gray,Black
ob1_10_RD_P1_frame_000000_5.png,10_RD_P1_frame_000000.png,5,732,86,11,20,Male,Black,Black
ob1_10_RD_P1_frame_000000_6.png,10_RD_P1_frame_000000.png,6,748,92,9,22,Male,Gray,Black
ob1_10_RD_P1_frame_000000_7.png,10_RD_P1_frame_000000.png,7,677,93,10,22,Male,Gray,Black
ob1_10_RD_P1_frame_000000_8.png,10_RD_P1_frame_000000.png,8,692,77,10,18,Male,Gray,Black
ob1_10_RD_P1_frame_000000_9.png,10_RD_P1_frame_000000.png,9,663,241,15,44,Male,Gray,Black
ob1_10_RD_P1_frame_000000_10.png,10_RD_P1_frame_000000.png,10,703,230,22,43,Male,Gray,Black
ob1_10_RD_P1_frame_000000_11.png,10_RD_P1_frame_000000.png,11,494,473,36,79,Male,Gray,Black
ob1_10_RD_P1_frame_000000_12.png,10_RD_P1_frame_000000.png,12,761,78,9,21,Male,Gray,Black
ob1_10_RD_P1_frame_000000_13.png,10_RD_P1_frame_000000.png,13,784,104,8,23,Male,Gray,Black
ob1_10_RD_P1_frame_000000_14.png,10_RD_P1_frame_000000.png,14,678,246,12,40,Male,Gray,Black
ob1_10_RD_P1_frame_000000_15.png,10_RD_P1_frame_000000.png,15,685,93,8,22,Male,Gray,Black
ob1_10_IC_P1_frame_005330_0.png,10_IC_P1_frame_005330.png,0,708,170,30,66,Male,White,Black
ob1_10_IC_P1_frame_005330_1.png,10_IC_P1_frame_005330.png,1,1113,185,39,61,Female,White,Green
ob1_10_IC_P1_frame_005330_2.png,10_IC_P1_frame_005330.png,2,594,147,27,62,Male,White,Black
ob1_10_IC_P1_frame_005330_3.png,10_IC_P1_frame_005330.png,3,1190,549,72,144,Male,White,Black
ob1_10_IC_P1_frame_005340_0.png,10_IC_P1_frame_005340.png,0,710,171,29,65,Female,Green,Blue
ob1_10_IC_P1_frame_005340_1.png,10_IC_P1_frame_005340.png,1,1105,182,34,67,Female,Green,Blue
ob1_10_IC_P1_frame_005340_2.png,10_IC_P1_frame_005340.png,2,605,151,25,62,Female,Green,Blue
ob1_10_IC_P1_frame_005340_3.png,10_IC_P1_frame_005340.png,3,1191,550,71,143,Male,Blue,Black
ob1_10_RD_P1_frame_000040_0.png,10_RD_P1_frame_000040.png,0,291,388,23,56,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_1.png,10_RD_P1_frame_000040.png,1,319,381,20,58,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_2.png,10_RD_P1_frame_000040.png,2,646,258,13,41,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_3.png,10_RD_P1_frame_000040.png,3,622,362,18,55,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_4.png,10_RD_P1_frame_000040.png,4,645,363,19,56,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_5.png,10_RD_P1_frame_000040.png,5,730,82,10,19,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_6.png,10_RD_P1_frame_000040.png,6,749,92,10,22,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_7.png,10_RD_P1_frame_000040.png,7,678,91,7,22,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_8.png,10_RD_P1_frame_000040.png,8,695,75,11,18,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_9.png,10_RD_P1_frame_000040.png,9,663,249,15,44,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_10.png,10_RD_P1_frame_000040.png,10,706,203,20,41,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_11.png,10_RD_P1_frame_000040.png,11,412,455,40,75,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_12.png,10_RD_P1_frame_000040.png,12,769,79,9,21,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_13.png,10_RD_P1_frame_000040.png,13,783,104,9,23,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_14.png,10_RD_P1_frame_000040.png,14,680,253,12,40,N/V,Black,N/V
ob1_10_RD_P1_frame_000040_15.png,10_RD_P1_frame_000040.png,15,688,92,8,22,N/V,Black,N/V
ob1_10_RD_P1_frame_000010_0.png,10_RD_P1_frame_000010.png,0,261,389,23,58,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_1.png,10_RD_P1_frame_000010.png,1,288,384,20,57,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_2.png,10_RD_P1_frame_000010.png,2,646,249,13,41,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_3.png,10_RD_P1_frame_000010.png,3,627,350,19,55,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_4.png,10_RD_P1_frame_000010.png,4,647,351,20,54,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_5.png,10_RD_P1_frame_000010.png,5,732,85,9,20,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_6.png,10_RD_P1_frame_000010.png,6,748,92,9,22,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_7.png,10_RD_P1_frame_000010.png,7,676,92,13,22,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_8.png,10_RD_P1_frame_000010.png,8,692,76,12,18,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_9.png,10_RD_P1_frame_000010.png,9,664,243,14,44,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_10.png,10_RD_P1_frame_000010.png,10,702,221,20,43,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_11.png,10_RD_P1_frame_000010.png,11,472,462,32,69,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_12.png,10_RD_P1_frame_000010.png,12,763,78,9,21,N/V,Brown,Brown
ob1_10_RD_P1_frame_000010_13.png,10_RD_P1_frame_000010.png,13,784,104,8,23,N/V,Brown,Brown
