,precision,recall,f1-score,support,Task
Female,0.9473684210526315,0.96,0.9536423841059603,75.0,Gender
Ignore,0.0,0.0,0.0,0.0,Gender
Male,0.7622950819672131,0.8857142857142857,0.8193832599118943,105.0,Gender
N/V,0.7,0.5147058823529411,0.5932203389830508,68.0,Gender
accuracy,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8064516129032258,Gender
macro avg,0.6024158757549611,0.5901050420168067,0.5915614957502264,248.0,Gender
weighted avg,0.8011839321996159,0.8064516129032258,0.7979734038288039,248.0,Gender
Black,0.811965811965812,0.8189655172413793,0.8154506437768241,116.0,Upper_Color
Blue,0.0,0.0,0.0,0.0,Upper_Color
Brown,0.5689655172413793,0.673469387755102,0.616822429906542,49.0,Upper_Color
Gray,0.25,0.14285714285714285,0.18181818181818182,7.0,Upper_Color
Green,0.7142857142857143,0.7692307692307693,0.7407407407407407,52.0,Upper_Color
Ignore,0.0,0.0,0.0,0.0,Upper_Color
N/V,0.0,0.0,0.0,4.0,Upper_Color
Orange,0.0,0.0,0.0,0.0,Upper_Color
Pink,0.0,0.0,0.0,1.0,Upper_Color
Purple,0.0,0.0,0.0,0.0,Upper_Color
Red,0.0,0.0,0.0,0.0,Upper_Color
White,0.6363636363636364,0.3684210526315789,0.4666666666666667,19.0,Upper_Color
Yellow,0.0,0.0,0.0,0.0,Upper_Color
accuracy,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7096774193548387,Upper_Color
macro avg,0.22935235998896475,0.21330337459353632,0.21703835868530424,248.0,Upper_Color
weighted avg,0.6977867369622098,0.7096774193548387,0.699493895973567,248.0,Upper_Color
Black,0.6904761904761905,0.7631578947368421,0.725,76.0,Lower_Color
Blue,0.0,0.0,0.0,0.0,Lower_Color
Brown,0.5348837209302325,0.6571428571428571,0.5897435897435898,35.0,Lower_Color
Gray,0.6666666666666666,0.7457627118644068,0.704,59.0,Lower_Color
Green,0.0,0.0,0.0,0.0,Lower_Color
Ignore,0.0,0.0,0.0,0.0,Lower_Color
N/V,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0,Lower_Color
Orange,0.0,0.0,0.0,0.0,Lower_Color
Pink,0.0,0.0,0.0,0.0,Lower_Color
Purple,0.0,0.0,0.0,0.0,Lower_Color
Red,0.0,0.0,0.0,0.0,Lower_Color
White,0.7307692307692307,0.59375,0.6551724137931034,64.0,Lower_Color
Yellow,0.0,0.0,0.0,0.0,Lower_Color
accuracy,0.6653225806451613,0.6653225806451613,0.6653225806451613,0.6653225806451613,Lower_Color
macro avg,0.25303557503915286,0.22328235435394223,0.22378539393721167,248.0,Lower_Color
weighted avg,0.6719073312284114,0.6653225806451613,0.6552507168179156,248.0,Lower_Color
